team,avg_goals_scored,avg_goals_conceded
Alaves,0.75,1.1710526315789473
Barcelona,1.7052631578947368,0.7631578947368421
Celta Vigo,1.0578947368421052,1.1736842105263159
Mallorca,0.7368421052631579,1.019736842105263
Cadiz,0.8355263157894737,1.4276315789473684
Osasuna,0.8631578947368421,1.0947368421052632
Sevilla,1.0947368421052632,0.9473684210526315
Valencia,0.9736842105263158,1.0842105263157895
Villarreal,1.3631578947368421,1.0473684210526315
Elche,0.9122807017543859,1.5263157894736843
Athletic Club,1.0842105263157895,0.868421052631579
Atletico Madrid,1.4842105263157894,0.7736842105263158
Real Betis,1.1157894736842104,0.9578947368421052
Getafe,0.7368421052631579,0.9894736842105263
Granada CF,1.131578947368421,1.7982456140350878
Espanyol,0.8596491228070176,1.1491228070175439
Levante,1.2763157894736843,1.75
Real Sociedad,1.0736842105263158,0.8210526315789474
Rayo Vallecano,0.7960526315789473,1.0394736842105263
Real Madrid,1.7105263157894737,0.6631578947368421
Eibar,0.7631578947368421,1.368421052631579
Valladolid,0.6140350877192983,1.1842105263157894
Huesca,0.8947368421052632,1.394736842105263
Almeria,1.2105263157894737,1.8421052631578947
Girona,1.3245614035087718,0.9736842105263158
Las Palmas,0.5263157894736842,0.7763157894736842
Leganes,0.10526315789473684,0.15789473684210525
